Date,Order_dir,Quantity,Price
21/05/2019,SELL,1,2403.7
22/05/2019,SELL,1,2405.75
23/05/2019,BUY,1,2332.1
27/05/2019,SELL,1,2408.35
28/05/2019,SELL,1,2416.2
12/06/2019,BUY,1,2427.05
13/06/2019,SELL,1,2444.7
17/06/2019,BUY,1,2422
18/06/2019,BUY,1,2417.25
20/06/2019,BUY,1,2426.35
21/06/2019,BUY,1,2414.2
24/06/2019,BUY,1,2417.95
25/06/2019,BUY,1,2428.7
26/06/2019,SELL,1,2467.9
27/06/2019,SELL,1,2462.3
01/07/2019,SELL,1,2485.55
02/07/2019,SELL,1,2495
03/07/2019,SELL,1,2489.65
04/07/2019,SELL,1,2483.8
08/07/2019,BUY,1,2409.6
09/07/2019,BUY,1,2379.15
10/07/2019,BUY,1,2388.75
11/07/2019,BUY,1,2407.15
12/07/2019,BUY,1,2393.9
15/07/2019,BUY,1,2394.75
16/07/2019,BUY,1,2391.2
17/07/2019,BUY,1,2397.45
19/07/2019,BUY,1,2375.65
22/07/2019,BUY,1,2297.25
08/08/2019,SELL,1,2233.15
09/08/2019,SELL,1,2282
13/08/2019,SELL,1,2220.35
14/08/2019,SELL,1,2229.45
21/08/2019,SELL,1,2225.85
22/08/2019,BUY,1,2174.1
23/08/2019,BUY,1,2162.7
26/08/2019,SELL,1,2256.15
27/08/2019,SELL,1,2259.95
28/08/2019,SELL,1,2247.5
04/09/2019,SELL,1,2247.75
06/09/2019,SELL,1,2245.9
09/09/2019,SELL,1,2249.6
12/09/2019,SELL,1,2270.85
16/09/2019,BUY,1,2244.15
17/09/2019,BUY,1,2211.35
18/09/2019,BUY,1,2187.75
19/09/2019,BUY,1,1101.05
20/09/2019,BUY,1,1199.6
23/09/2019,BUY,1,1257.25
24/09/2019,BUY,1,1253.8
25/09/2019,BUY,1,1239.7
26/09/2019,BUY,1,1242.5
27/09/2019,BUY,1,1244.2
03/10/2019,SELL,1,1223.55
04/10/2019,BUY,1,1189.7
18/10/2019,SELL,1,1229
22/10/2019,SELL,1,1239.3
23/10/2019,SELL,1,1241.6
24/10/2019,SELL,1,1236.1
25/10/2019,BUY,1,1229
27/10/2019,BUY,1,1237.7
31/10/2019,BUY,1,1230.35
01/11/2019,BUY,1,1240.05
11/11/2019,SELL,1,1264.75
13/11/2019,SELL,1,1257.55
14/11/2019,SELL,1,1273.9
15/11/2019,SELL,1,1277.9
22/11/2019,BUY,1,1264.75
25/11/2019,BUY,1,1271.1
26/11/2019,BUY,1,1275.05
27/11/2019,BUY,1,1278.4
10/12/2019,SELL,1,1249.5
11/12/2019,SELL,1,1248.75
12/12/2019,SELL,1,1263.6
17/12/2019,SELL,1,1271.1
18/12/2019,SELL,1,1292.35
19/12/2019,SELL,1,1288.8
20/12/2019,SELL,1,1296.7
23/12/2019,SELL,1,1302.4
24/12/2019,SELL,1,1289.15
26/12/2019,BUY,1,1270.45
27/12/2019,BUY,1,1275
31/12/2019,BUY,1,1272.1
01/01/2020,BUY,1,1278.6
03/01/2020,BUY,1,1268.4
06/01/2020,BUY,1,1240.95
10/01/2020,SELL,1,1282.7
13/01/2020,SELL,1,1286
14/01/2020,SELL,1,1289.5
15/01/2020,SELL,1,1284.25
16/01/2020,SELL,1,1287.65
17/01/2020,SELL,1,1278.15
20/01/2020,BUY,1,1254.9
21/01/2020,BUY,1,1244.35
22/01/2020,BUY,1,1240.85
23/01/2020,BUY,1,1244.85
24/01/2020,BUY,1,1244.55
27/01/2020,BUY,1,1213.2
28/01/2020,BUY,1,1223.2
30/01/2020,BUY,1,1226.05
31/01/2020,BUY,1,1226.3
04/02/2020,SELL,1,1229.8
05/02/2020,SELL,1,1244.65
06/02/2020,SELL,1,1239.8
07/02/2020,SELL,1,1242.2
10/02/2020,SELL,1,1240.3
12/02/2020,SELL,1,1249
14/02/2020,BUY,1,1219.35
17/02/2020,BUY,1,1217.15
18/02/2020,BUY,1,1213.25
19/02/2020,BUY,1,1227.2
20/02/2020,BUY,1,1217.1
24/02/2020,BUY,1,1209.95
03/03/2020,SELL,1,1181.8
04/03/2020,BUY,1,1148.85
07/04/2020,SELL,1,896.1
08/04/2020,SELL,1,888.9
09/04/2020,SELL,1,925.05
13/04/2020,SELL,1,895.35
17/04/2020,SELL,1,910.3
20/04/2020,SELL,1,944.85
21/04/2020,SELL,1,921.65
22/04/2020,SELL,1,928.6
23/04/2020,SELL,1,954.95
24/04/2020,SELL,1,938.05
04/05/2020,BUY,1,923
05/05/2020,BUY,1,911.45
06/05/2020,SELL,1,946.4
11/05/2020,BUY,1,915.8
12/05/2020,BUY,1,901.55
14/05/2020,BUY,1,893.7
15/05/2020,BUY,1,888.15
18/05/2020,BUY,1,836.65
19/05/2020,BUY,1,830.65
20/05/2020,BUY,1,857.1
21/05/2020,BUY,1,859.55
22/05/2020,BUY,1,838.85
27/05/2020,SELL,1,903.65
28/05/2020,SELL,1,945.25
29/05/2020,SELL,1,951.65
01/06/2020,SELL,1,987.65
02/06/2020,SELL,1,1001
03/06/2020,SELL,1,1022.25
04/06/2020,SELL,1,1001.7
05/06/2020,SELL,1,1033.35
08/06/2020,SELL,1,1015.9
10/06/2020,BUY,1,991.85
11/06/2020,BUY,1,968.6
12/06/2020,BUY,1,982.75
15/06/2020,BUY,1,949.85
18/06/2020,SELL,1,1019.95
19/06/2020,SELL,1,1033.35
22/06/2020,SELL,1,1028.75
23/06/2020,SELL,1,1042.3
24/06/2020,SELL,1,1032.5
13/07/2020,BUY,1,1080.25
14/07/2020,BUY,1,1058.85
15/07/2020,BUY,1,1053.15
16/07/2020,BUY,1,1062.55
20/07/2020,SELL,1,1133.05
21/07/2020,SELL,1,1138.55
22/07/2020,SELL,1,1126.35
23/07/2020,SELL,1,1130.4
27/07/2020,BUY,1,1079.5
28/07/2020,BUY,1,1086.65
29/07/2020,BUY,1,1064.6
30/07/2020,BUY,1,1050.65
31/07/2020,BUY,1,1032.8
03/08/2020,BUY,1,1002
04/08/2020,BUY,1,1041.65
05/08/2020,BUY,1,1027.55
11/08/2020,SELL,1,1066.65
12/08/2020,SELL,1,1063.7
13/08/2020,SELL,1,1059.05
14/08/2020,BUY,1,1034.45
17/08/2020,BUY,1,1032.75
18/08/2020,SELL,1,1056.5
19/08/2020,SELL,1,1066.6
20/08/2020,SELL,1,1059
21/08/2020,SELL,1,1085.65
24/08/2020,SELL,1,1117.05
25/08/2020,SELL,1,1119.7
26/08/2020,SELL,1,1118.45
07/09/2020,BUY,1,1110.5
09/09/2020,BUY,1,1096.5
10/09/2020,BUY,1,1090.55
11/09/2020,BUY,1,1078.65
14/09/2020,BUY,1,1057.95
15/09/2020,BUY,1,1070.5
18/09/2020,BUY,1,1057.3
21/09/2020,BUY,1,1049.3
22/09/2020,BUY,1,1035.4
23/09/2020,BUY,1,1047.25
29/09/2020,SELL,1,1062.55
30/09/2020,SELL,1,1078.6
01/10/2020,SELL,1,1106.95
05/10/2020,SELL,1,1114.35
06/10/2020,SELL,1,1144.1
07/10/2020,SELL,1,1162.25
08/10/2020,SELL,1,1191.8
09/10/2020,SELL,1,1233.55
12/10/2020,SELL,1,1213.65
13/10/2020,SELL,1,1198.45
