,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
142,23/07/2018,267.5,260.6,261.5,266.35,262.0,263.69,90699
143,24/07/2018,269.2,265.55,266.35,266.85,267.2,267.44,90287
144,25/07/2018,272.85,265.65,266.85,271.85,268.0,269.11,102919
145,26/07/2018,289.4,274.2,271.85,287.7,275.1,283.14,310433
146,27/07/2018,297.0,285.1,287.7,286.75,289.5,290.46,220319
147,30/07/2018,299.55,289.2,286.75,297.4,289.2,296.67,268957
148,31/07/2018,302.4,291.8,297.4,293.5,297.0,296.17,254603
149,01/08/2018,298.0,288.35,293.5,295.1,294.5,292.95,181159
150,02/08/2018,296.4,290.55,295.1,293.9,293.0,294.02,104001
151,03/08/2018,299.95,294.5,293.9,299.25,294.6,297.3,114223
152,06/08/2018,311.35,300.6,299.25,308.5,300.6,307.52,204045
153,07/08/2018,311.7,303.05,308.5,304.05,309.85,306.47,128953
154,08/08/2018,310.9,303.05,304.05,308.7,304.05,306.82,117900
155,09/08/2018,319.85,310.15,308.7,317.4,312.95,316.25,243879
156,10/08/2018,326.4,300.5,317.4,304.45,317.65,313.3,565857
157,13/08/2018,302.8,291.1,304.45,294.15,296.0,295.95,256293
158,14/08/2018,298.95,293.35,294.15,294.9,296.7,295.85,156944
159,16/08/2018,298.4,290.25,294.9,292.7,293.5,294.21,150833
160,17/08/2018,302.7,294.05,292.7,302.1,295.0,298.51,157302
161,20/08/2018,308.7,303.6,302.1,307.65,304.1,306.04,188475
162,21/08/2018,308.85,303.35,307.65,307.0,308.3,305.65,115293
163,23/08/2018,306.95,298.3,307.0,302.45,306.95,302.26,163137
164,24/08/2018,305.7,299.0,302.45,300.45,300.6,301.58,167126
165,27/08/2018,310.35,303.3,300.45,308.0,304.0,307.92,178623
166,28/08/2018,310.25,303.4,308.0,305.35,308.05,305.76,125093
167,29/08/2018,312.0,305.75,305.35,309.7,306.8,309.64,168632
168,30/08/2018,310.5,306.0,309.7,308.6,309.3,307.95,112027
169,31/08/2018,310.65,304.55,308.6,309.6,307.9,307.85,105308
170,03/09/2018,312.5,304.8,309.6,306.35,312.5,310.1,94708
171,04/09/2018,307.45,295.45,306.35,296.4,306.8,303.13,149148
172,05/09/2018,298.85,290.4,296.4,296.55,296.5,295.18,148306
173,06/09/2018,299.85,294.5,296.55,296.45,298.0,297.34,111206
174,07/09/2018,295.9,289.45,296.45,291.65,295.9,291.75,150105
175,10/09/2018,293.25,283.8,291.65,284.85,290.65,287.9,146448
176,11/09/2018,291.45,281.65,284.85,282.6,287.35,287.14,164245
177,12/09/2018,286.7,280.0,282.6,285.3,284.0,283.62,147354
178,14/09/2018,291.8,288.7,285.3,290.65,290.1,290.29,101589
179,17/09/2018,288.5,284.1,290.65,285.3,288.5,285.73,97436
180,18/09/2018,286.9,272.4,285.3,273.8,285.0,277.31,177012
181,19/09/2018,282.85,270.5,273.8,271.5,275.4,273.54,219193
182,21/09/2018,279.45,253.4,271.5,270.6,274.2,272.26,218461
183,24/09/2018,273.0,262.6,270.6,264.35,272.7,266.54,124419
184,25/09/2018,272.95,260.8,264.35,270.9,264.0,265.54,182855
185,26/09/2018,274.0,262.75,270.9,263.85,274.0,266.42,155258
186,27/09/2018,268.6,263.75,263.85,265.35,264.5,266.3,124638
187,28/09/2018,273.5,262.5,265.35,265.5,266.4,268.19,183277
188,01/10/2018,275.2,264.1,265.5,273.85,265.5,268.85,138561
189,03/10/2018,278.7,270.6,273.85,271.7,273.35,274.04,123868
190,04/10/2018,272.7,265.7,271.7,271.35,267.95,269.48,104521
191,05/10/2018,271.0,256.0,271.35,258.35,271.0,264.55,210659
192,08/10/2018,268.5,258.35,258.35,265.75,259.75,262.3,146549
193,09/10/2018,268.15,260.0,265.75,262.95,268.0,263.56,117931
194,10/10/2018,280.45,261.2,262.95,278.65,261.6,271.41,174117
195,11/10/2018,271.5,260.6,278.65,262.15,268.0,263.79,263698
196,12/10/2018,267.9,261.5,262.15,263.75,266.0,265.06,197824
